設計相關,教育相關,金融保險相關,餐飲相關,電機資訊相關,醫療相關,公職軍警相關,製造零售相關,運輸貿易相關,營造工程相關,法律相關,會計服務相關,其他（請於下題自填）,,
22000-29999,30000-44999,65000以上,30000-44999,22000-29999,30000-44999,65000以上,22000-29999,22000-29999,55000-64999,30000-44999,45000-54999,45000-54999,,
30000-44999,55000-64999,45000-54999,30000-44999,30000-44999,30000-44999,55000-64999,22000-29999,65000以上,,,22000-29999,30000-44999,,
65000以上,65000以上,22000-29999,30000-44999,22000-29999,30000-44999,65000以上,30000-44999,30000-44999,,,,22000-29999,,
30000-44999,22000-29999,30000-44999,22000-29999,65000以上,30000-44999,55000-64999,22000-29999,,,,,30000-44999,,
30000-44999,30000-44999,65000以上,30000-44999,30000-44999,55000-64999,,30000-44999,,,,,55000-64999,,
30000-44999,55000-64999,65000以上,30000-44999,65000以上,30000-44999,,30000-44999,,,,,30000-44999,,
30000-44999,65000以上,65000以上,22000-29999,30000-44999,30000-44999,,30000-44999,,,,,30000-44999,,
55000-64999,65000以上,30000-44999,22000-29999,45000-54999,22000-29999,,30000-44999,,,,,30000-44999,,
30000-44999,30000-44999,45000-54999,45000-54999,55000-64999,30000-44999,,22000-29999,,,,,22000-29999,,
22000-29999,55000-64999,65000以上,30000-44999,22000-29999,22000-29999,,22000-29999,,,,,45000-54999,,
30000-44999,65000以上,65000以上,65000以上,30000-44999,,,22000-29999,,,,,22000-29999,,
65000以上,22000-29999,55000-64999,30000-44999,65000以上,,,65000以上,,,,,30000-44999,,
55000-64999,55000-64999,22000-29999,30000-44999,30000-44999,,,22000-29999,,,,,65000以上,,
30000-44999,30000-44999,45000-54999,22000-29999,30000-44999,,,,,,,,22000-29999,,
,22000-29999,65000以上,,65000以上,,,,,,,,22000-29999,,
,,65000以上,,65000以上,,,,,,,,30000-44999,,
,,22000-29999,,30000-44999,,,,,,,,22000-29999,,
,,30000-44999,,30000-44999,,,,,,,,45000-54999,,
,,22000-29999,,65000以上,,,,,,,,22000-29999,,
,,65000以上,,,,,,,,,,65000以上,,
,,30000-44999,,,,,,,,,,65000以上,,
,,65000以上,,,,,,,,,,45000-54999,,
,,30000-44999,,,,,,,,,,22000-29999,,
,,22000-29999,,,,,,,,,,45000-54999,,
,,,,,,,,,,,,65000以上,,
,,,,,,,,,,,,30000-44999,,
,,,,,,,,,,,,22000-29999,,
,,,,,,,,,,,,30000-44999,,
,,,,,,,,,,,,22000-29999,,
,,,,,,,,,,,,65000以上,,
,,,,,,,,,,,,30000-44999,,
,,,,,,,,,,,,45000-54999,,
,,,,,,,,,,,,30000-44999,,
,,,,,,,,,,,,30000-44999,,
,,,,,,,,,,,,55000-64999,,
,,,,,,,,,,,,30000-44999,,
,,,,,,,,,,,,45000-54999,,
,,,,,,,,,,,,22000-29999,,
,,,,,,,,,,,,45000-54999,,
,,,,,,,,,,,,45000-54999,,
,,,,,,,,,,,,45000-54999,,
,,,,,,,,,,,,22000-29999,,
,,,,,,,,,,,,65000以上,,
,,,,,,,,,,,,22000-29999,,
